iso,nodetype,node,curve,year,error
ercot,node,WHCCS2_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,CTL_PUN3,fmm,2017,Error: Bad frequency in data
ercot,node,CTL_ST_101,fmm,2017,Error: Bad frequency in data
ercot,node,LGE_LGE_GT2,fmm,2017,Error: Bad frequency in data
ercot,node,QALSW_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,UCC_COG_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,BAFFIN_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,BBREEZE_1_2,fmm,2017,Error: Bad frequency in data
ercot,node,CCEC_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,ELB_ELBCREEK,fmm,2017,Error: Bad frequency in data
ercot,node,FREC_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,JCKCNTY2_CT3,fmm,2017,Error: Bad frequency in data
ercot,node,REROCK_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,SANDHSYD1_2,fmm,2017,Error: Bad frequency in data
ercot,node,TEN_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,TGW_T1_T2,fmm,2017,Error: Bad frequency in data
ercot,node,VIC_VICTORG6,fmm,2017,Error: Bad frequency in data
ercot,node,WFCOGEN_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,AMOCO_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,BORDAS_345,fmm,2017,Error: Bad frequency in data
ercot,node,BSF_PUN2,fmm,2017,Error: Bad frequency in data
ercot,node,BTE_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,BYU_PUN4,fmm,2017,Error: Bad frequency in data
ercot,node,CVC_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,FORMOSA_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,FORMOSA_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,HHOLLW2_WND1,fmm,2017,Error: Bad frequency in data
ercot,node,LHSES_UNIT1,fmm,2017,Error: Bad frequency in data
ercot,node,LPCCS_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,NUE_NUECESG8,fmm,2017,Error: Bad frequency in data
ercot,node,OXY_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,PSA_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,PSG_PSG_ST1,fmm,2017,Error: Bad frequency in data
ercot,node,SDSES_PUN1,fmm,2017,Error: Bad frequency in data
ercot,node,SILASRAY_CC1,fmm,2017,Error: Bad frequency in data
ercot,node,STP_STP_G1,fmm,2017,Error: Bad frequency in data
ercot,node,TRSES_UNIT6,fmm,2017,Error: Bad frequency in data
ercot,node,WEBBER_WS_T1,fmm,2017,Error: Bad frequency in data
ercot,node,KMCHI_CC2,fmm,2017,Error: Bad frequency in data
ercot,node,THW_1_CCU,fmm,2017,Error: Bad frequency in data
ercot,node,TNP_TNP_O_2,fmm,2017,Error: Bad frequency in data
ercot,node,WEC_WECG1,fmm,2017,Error: Bad frequency in data
ercot,node,REDGATE_ALL,fmm,2017,Error: Bad frequency in data
ercot,node,SANDHSYD6_7,fmm,2017,Error: Bad frequency in data
ercot,node,NCARBIDE_1_7,fmm,2017,Error: Bad frequency in data
ercot,node,CHE_LYD,fmm,2017,Error: Bad frequency in data
ercot,node,CVC_CVC_G2,fmm,2017,Error: Bad frequency in data
ercot,node,MDANP_CT3_4,fmm,2017,Error: Bad frequency in data
ercot,node,RSK_RN,fmm,2017,Error: Bad frequency in data
ercot,node,SPLAIN1_RN,fmm,2017,Error: Bad frequency in data
